Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (døgn),Nedbør (døgn),Minimumstemperatur (døgn),Maksimumstemperatur (døgn)
Tynset - Hansmoen,SN9580,01.01.2020,5.6,0,-5.3,8.3
Tynset - Hansmoen,SN9580,02.01.2020,4.2,0,0.4,7.2
Tynset - Hansmoen,SN9580,03.01.2020,-0.3,0.6,-4,6.4
Tynset - Hansmoen,SN9580,04.01.2020,-2.8,3,-3.8,-0.3
Tynset - Hansmoen,SN9580,05.01.2020,-5.8,0.4,-8.3,-2.3
Tynset - Hansmoen,SN9580,06.01.2020,-6.3,1.4,-14.2,-1.2
Tynset - Hansmoen,SN9580,07.01.2020,0.1,0,-8.4,3.9
Tynset - Hansmoen,SN9580,08.01.2020,2.5,0,-0.2,6
Tynset - Hansmoen,SN9580,09.01.2020,-7.6,0,-14.7,1.8
Tynset - Hansmoen,SN9580,10.01.2020,-21.3,0,-23.7,-14.1
Tynset - Hansmoen,SN9580,11.01.2020,-2.8,0.1,-23.2,4.9
Tynset - Hansmoen,SN9580,12.01.2020,-2,0,-9,4.6
Tynset - Hansmoen,SN9580,13.01.2020,-3.6,0,-10.4,1.2
Tynset - Hansmoen,SN9580,14.01.2020,-0.2,0.1,-4.8,2.8
Tynset - Hansmoen,SN9580,15.01.2020,-1.8,1.5,-7.3,0.9
Tynset - Hansmoen,SN9580,16.01.2020,-0.2,0,-8,5.5
Tynset - Hansmoen,SN9580,17.01.2020,2.5,0,-1.8,4.1
Tynset - Hansmoen,SN9580,18.01.2020,-4,0,-8.3,3.8
Tynset - Hansmoen,SN9580,19.01.2020,-4.8,0,-13.2,1
Tynset - Hansmoen,SN9580,20.01.2020,6.8,0.3,-4.8,10
Tynset - Hansmoen,SN9580,21.01.2020,1.5,0.1,-2.5,9.4
Tynset - Hansmoen,SN9580,22.01.2020,-2.8,0.8,-8.1,1.7
Tynset - Hansmoen,SN9580,23.01.2020,1.3,0,-8.6,7.6
Tynset - Hansmoen,SN9580,24.01.2020,-2.2,0,-8.6,6.6
Tynset - Hansmoen,SN9580,25.01.2020,-5,0,-9.6,0.2
Tynset - Hansmoen,SN9580,26.01.2020,-0.7,0,-6.9,5
Tynset - Hansmoen,SN9580,27.01.2020,-0.7,0,-9.4,3.1
Tynset - Hansmoen,SN9580,28.01.2020,-5.2,0.1,-9.6,1.6
Tynset - Hansmoen,SN9580,29.01.2020,-3.1,2.3,-6.2,0
Tynset - Hansmoen,SN9580,30.01.2020,-4.5,2.6,-7.5,-1.7
Tynset - Hansmoen,SN9580,31.01.2020,-1.9,0,-5.7,-0.2
Tynset - Hansmoen,SN9580,01.02.2020,-1.3,0.5,-1.2,2
Tynset - Hansmoen,SN9580,02.02.2020,-3.8,2.4,-14.5,2
Tynset - Hansmoen,SN9580,03.02.2020,-12,1.2,-17.2,0
Tynset - Hansmoen,SN9580,04.02.2020,-12.4,0.2,-19.4,-2.3
Tynset - Hansmoen,SN9580,05.02.2020,-0.9,0.1,-13.4,5.6
Tynset - Hansmoen,SN9580,06.02.2020,-0.7,0.8,-1.6,4.7
Tynset - Hansmoen,SN9580,07.02.2020,-6.2,0.2,-8.5,-1.1
Tynset - Hansmoen,SN9580,08.02.2020,-1.5,0,-9.9,2.6
Tynset - Hansmoen,SN9580,09.02.2020,1.5,0,0.5,3.5
Tynset - Hansmoen,SN9580,10.02.2020,0.5,1.7,-2.1,3.5
Tynset - Hansmoen,SN9580,11.02.2020,-8,0,-11.1,-0.4
Tynset - Hansmoen,SN9580,12.02.2020,-9.1,0,-12.1,-5
Tynset - Hansmoen,SN9580,13.02.2020,-5.5,0.1,-12.7,1.6
Tynset - Hansmoen,SN9580,14.02.2020,-11.2,0.1,-17.7,-4.5
Tynset - Hansmoen,SN9580,15.02.2020,0.2,0,-10,4.2
Tynset - Hansmoen,SN9580,16.02.2020,2.6,3.5,-0.6,5.1
Tynset - Hansmoen,SN9580,17.02.2020,2.1,0,-3,5.8
Tynset - Hansmoen,SN9580,18.02.2020,1.3,0.6,-4.2,4.8
Tynset - Hansmoen,SN9580,19.02.2020,-3.8,0,-8.2,2.5
Tynset - Hansmoen,SN9580,20.02.2020,-1.8,0.1,-12.7,1
Tynset - Hansmoen,SN9580,21.02.2020,-0.5,1.1,-10.8,3.9
Tynset - Hansmoen,SN9580,22.02.2020,1.3,0.1,-2.2,5
Tynset - Hansmoen,SN9580,23.02.2020,-0.9,0.2,-3.3,1.7
Tynset - Hansmoen,SN9580,24.02.2020,-7.1,0,-13,0.8
Tynset - Hansmoen,SN9580,25.02.2020,-14.2,0,-18,-6
Tynset - Hansmoen,SN9580,26.02.2020,-18.4,0,-24.6,-7.2
Tynset - Hansmoen,SN9580,27.02.2020,-16.7,0,-27.6,-5.9
Tynset - Hansmoen,SN9580,28.02.2020,-13.6,0,-21.4,-4.2
Tynset - Hansmoen,SN9580,29.02.2020,-10.3,0.1,-16.6,-4.7
Tynset - Hansmoen,SN9580,01.03.2020,-5.1,0.8,-9.5,-3.2
Tynset - Hansmoen,SN9580,02.03.2020,-0.3,1.9,-4.4,2.9
Tynset - Hansmoen,SN9580,03.03.2020,-2,0.5,-3.4,1.6
Tynset - Hansmoen,SN9580,04.03.2020,-3.1,4.6,-4.2,0.1
Tynset - Hansmoen,SN9580,05.03.2020,-5.3,4.2,-9.4,3.6
Tynset - Hansmoen,SN9580,06.03.2020,-12,0,-20.4,-0.4
Tynset - Hansmoen,SN9580,07.03.2020,-8.6,0,-18.2,-3
Tynset - Hansmoen,SN9580,08.03.2020,1.3,1.2,-5.1,3.7
Tynset - Hansmoen,SN9580,09.03.2020,1.4,0,-4.9,7.1
Tynset - Hansmoen,SN9580,10.03.2020,-2.8,0,-11.7,2.9
Tynset - Hansmoen,SN9580,11.03.2020,2,0.1,-0.3,6.8
Tynset - Hansmoen,SN9580,12.03.2020,-1,0,-5.7,4.3
Tynset - Hansmoen,SN9580,13.03.2020,-5.8,0.2,-7.2,0.7
Tynset - Hansmoen,SN9580,14.03.2020,-5.8,0.1,-13,-1.1
Tynset - Hansmoen,SN9580,15.03.2020,1.3,0.1,-3,6.5
Tynset - Hansmoen,SN9580,16.03.2020,-0.8,0.1,-6.5,3.9
Tynset - Hansmoen,SN9580,17.03.2020,3,0,-0.2,7
Tynset - Hansmoen,SN9580,18.03.2020,0.4,0,-6.8,4.7
Tynset - Hansmoen,SN9580,19.03.2020,-2.2,0,-9.5,4.3
Tynset - Hansmoen,SN9580,20.03.2020,-2.4,0,-7,1.9
Tynset - Hansmoen,SN9580,21.03.2020,-4.3,0.1,-10.5,2.4
Tynset - Hansmoen,SN9580,22.03.2020,-5.6,0,-15.8,1.3
Tynset - Hansmoen,SN9580,23.03.2020,-0.5,0,-7.2,2.6
Tynset - Hansmoen,SN9580,24.03.2020,2.7,0,-0.7,5.9
Tynset - Hansmoen,SN9580,25.03.2020,3.8,0,1.8,9.9
Tynset - Hansmoen,SN9580,26.03.2020,2.2,1.4,-0.2,8.5
Tynset - Hansmoen,SN9580,27.03.2020,-0.2,0,-10,8
Tynset - Hansmoen,SN9580,28.03.2020,-3.9,0.1,-6.2,4.1
Tynset - Hansmoen,SN9580,29.03.2020,-3.9,1,-14.3,1.4
Tynset - Hansmoen,SN9580,30.03.2020,-2.4,0.2,-6.2,1.7
Tynset - Hansmoen,SN9580,31.03.2020,2.3,0.1,-6.1,6.4
Tynset - Hansmoen,SN9580,01.04.2020,1.7,0.2,-3.4,8.6
Tynset - Hansmoen,SN9580,02.04.2020,-1.2,0,-5.9,2.1
Tynset - Hansmoen,SN9580,03.04.2020,-3.4,1.8,-4.8,-0.6
Tynset - Hansmoen,SN9580,04.04.2020,-6.4,0,-14.3,0.9
Tynset - Hansmoen,SN9580,05.04.2020,-2.1,0,-11.1,5.3
Tynset - Hansmoen,SN9580,06.04.2020,5.8,0,0,9.3
Tynset - Hansmoen,SN9580,07.04.2020,4.4,0,0.5,8.8
Tynset - Hansmoen,SN9580,08.04.2020,4.3,0.1,2.1,9.4
Tynset - Hansmoen,SN9580,09.04.2020,0.5,0.1,-4.9,4
Tynset - Hansmoen,SN9580,10.04.2020,0.8,0,-1.5,3.6
Tynset - Hansmoen,SN9580,11.04.2020,1.3,0,-2.2,5.8
Tynset - Hansmoen,SN9580,12.04.2020,1.7,0.9,-0.1,7.8
Tynset - Hansmoen,SN9580,13.04.2020,-2.8,1.3,-3.9,0.2
Tynset - Hansmoen,SN9580,14.04.2020,1.5,0.5,-3.5,4.8
Tynset - Hansmoen,SN9580,15.04.2020,4.5,1,1.1,9
Tynset - Hansmoen,SN9580,16.04.2020,0.2,1.8,-1.5,4.1
Tynset - Hansmoen,SN9580,17.04.2020,0.3,1.2,-1.7,3
Tynset - Hansmoen,SN9580,18.04.2020,1.1,0.1,-2.4,5.6
Tynset - Hansmoen,SN9580,19.04.2020,1.9,0,-6.1,9.3
Tynset - Hansmoen,SN9580,20.04.2020,3.7,0,-5.7,13.4
Tynset - Hansmoen,SN9580,21.04.2020,5.2,0,-5.9,17.9
Tynset - Hansmoen,SN9580,22.04.2020,5,0,-5.1,15.5
Tynset - Hansmoen,SN9580,23.04.2020,4.4,0,-4.8,12.9
Tynset - Hansmoen,SN9580,24.04.2020,3.4,0.1,1,6.8
Tynset - Hansmoen,SN9580,25.04.2020,4,0,1.7,7.5
Tynset - Hansmoen,SN9580,26.04.2020,2.4,0,0.6,6.3
Tynset - Hansmoen,SN9580,27.04.2020,1.7,0,-2,5.3
Tynset - Hansmoen,SN9580,28.04.2020,2.2,0,-0.5,6.5
Tynset - Hansmoen,SN9580,29.04.2020,2.9,0,-2.2,7.8
Tynset - Hansmoen,SN9580,30.04.2020,3,0,-3.6,6.7
Tynset - Hansmoen,SN9580,01.05.2020,2.4,0.2,-0.2,4.5
Tynset - Hansmoen,SN9580,02.05.2020,3.7,0.2,-2.1,9
Tynset - Hansmoen,SN9580,03.05.2020,2.7,0,-1.7,7.8
Tynset - Hansmoen,SN9580,04.05.2020,1,0,-4.8,4.8
Tynset - Hansmoen,SN9580,05.05.2020,3.4,0,-6.2,9.3
Tynset - Hansmoen,SN9580,06.05.2020,4.7,0,2.6,8
Tynset - Hansmoen,SN9580,07.05.2020,3.4,0.1,-2.9,8.7
Tynset - Hansmoen,SN9580,08.05.2020,3.6,0,-2,9.6
Tynset - Hansmoen,SN9580,09.05.2020,3.2,0,-3.8,10.4
Tynset - Hansmoen,SN9580,10.05.2020,0,0,-2,6.4
Tynset - Hansmoen,SN9580,11.05.2020,-0.6,0.4,-6.7,4.6
Tynset - Hansmoen,SN9580,12.05.2020,-0.3,2.2,-4.2,3.5
Tynset - Hansmoen,SN9580,13.05.2020,0.8,0.1,-2,4.8
Tynset - Hansmoen,SN9580,14.05.2020,0.8,0,-4.6,5.2
Tynset - Hansmoen,SN9580,15.05.2020,1.9,0.1,-2.6,6.1
Tynset - Hansmoen,SN9580,16.05.2020,2.9,0,-1.5,6.2
Tynset - Hansmoen,SN9580,17.05.2020,3.9,0,0.1,7
Tynset - Hansmoen,SN9580,18.05.2020,3.8,0.1,0.8,8.2
Tynset - Hansmoen,SN9580,19.05.2020,2.8,0,-0.6,7.5
Tynset - Hansmoen,SN9580,20.05.2020,4.7,0,-5.3,12.9
Tynset - Hansmoen,SN9580,21.05.2020,8.2,0,-5.5,17.6
Tynset - Hansmoen,SN9580,22.05.2020,9,0,1.5,14.5
Tynset - Hansmoen,SN9580,23.05.2020,9.2,5.8,7.5,13.7
Tynset - Hansmoen,SN9580,24.05.2020,8.6,0,5.8,12.2
Tynset - Hansmoen,SN9580,25.05.2020,11,1.1,4.5,17.9
Tynset - Hansmoen,SN9580,26.05.2020,10.7,0,2.4,17.6
Tynset - Hansmoen,SN9580,27.05.2020,7.8,0,3.2,13.8
Tynset - Hansmoen,SN9580,28.05.2020,6,0,-0.7,11.7
Tynset - Hansmoen,SN9580,29.05.2020,9,0,-1.4,16.4
Tynset - Hansmoen,SN9580,30.05.2020,12,0,0,20.5
Tynset - Hansmoen,SN9580,31.05.2020,15.4,0.1,1.5,25.1
Tynset - Hansmoen,SN9580,01.06.2020,16,0,3.7,25.7
Tynset - Hansmoen,SN9580,02.06.2020,13.4,0,4.6,19.8
Tynset - Hansmoen,SN9580,03.06.2020,11.8,0,8.9,17.6
Tynset - Hansmoen,SN9580,04.06.2020,12.9,7.2,9.4,18.5
Tynset - Hansmoen,SN9580,05.06.2020,11.8,0,4.4,17.7
Tynset - Hansmoen,SN9580,06.06.2020,9.5,2.4,7.9,10.9
Tynset - Hansmoen,SN9580,07.06.2020,7.9,13.1,7.4,10.5
Tynset - Hansmoen,SN9580,08.06.2020,5.4,9.6,0.3,10.3
Tynset - Hansmoen,SN9580,09.06.2020,10.8,0.1,1.2,17.5
Tynset - Hansmoen,SN9580,10.06.2020,13.9,0,7.5,20.1
Tynset - Hansmoen,SN9580,11.06.2020,14.4,0.1,4.1,22.5
Tynset - Hansmoen,SN9580,12.06.2020,15.3,0.1,1.2,24.7
Tynset - Hansmoen,SN9580,13.06.2020,17.1,0,7.4,23.7
Tynset - Hansmoen,SN9580,14.06.2020,17.5,0,4.3,25.9
Tynset - Hansmoen,SN9580,15.06.2020,16.7,0,7,24.5
Tynset - Hansmoen,SN9580,16.06.2020,18.7,0,9.2,29.8
Tynset - Hansmoen,SN9580,17.06.2020,17.2,0.2,8.6,26.5
Tynset - Hansmoen,SN9580,18.06.2020,17.5,0,6,26.2
Tynset - Hansmoen,SN9580,19.06.2020,18.9,0.1,5.8,28.3
Tynset - Hansmoen,SN9580,20.06.2020,21,0,11.6,26.8
Tynset - Hansmoen,SN9580,21.06.2020,19.8,0,9.6,25.6
Tynset - Hansmoen,SN9580,22.06.2020,14.4,0,12.4,22.7
Tynset - Hansmoen,SN9580,23.06.2020,16.4,1.6,4.4,27.5
Tynset - Hansmoen,SN9580,24.06.2020,19.9,0,7.9,29.4
Tynset - Hansmoen,SN9580,25.06.2020,21.4,0,8.8,31.4
Tynset - Hansmoen,SN9580,26.06.2020,21.4,0,11.8,29
Tynset - Hansmoen,SN9580,27.06.2020,20.3,0,8.1,29.3
Tynset - Hansmoen,SN9580,28.06.2020,16,0,10.3,27.2
Tynset - Hansmoen,SN9580,29.06.2020,15.1,13,12.1,20.2
Tynset - Hansmoen,SN9580,30.06.2020,11.1,0,5.8,19.3
Tynset - Hansmoen,SN9580,01.07.2020,8,1.8,5.2,12.5
Tynset - Hansmoen,SN9580,02.07.2020,7.3,6,4.1,13.3
Tynset - Hansmoen,SN9580,03.07.2020,6.9,3.2,3.5,13.4
Tynset - Hansmoen,SN9580,04.07.2020,8,1.6,0.3,14.4
Tynset - Hansmoen,SN9580,05.07.2020,8.6,0,0.1,15.8
Tynset - Hansmoen,SN9580,06.07.2020,8.6,14.3,7.1,10.7
Tynset - Hansmoen,SN9580,07.07.2020,8.7,4.6,5.3,13.3
Tynset - Hansmoen,SN9580,08.07.2020,8.5,0,2.6,14
Tynset - Hansmoen,SN9580,09.07.2020,8.4,0,1.6,15.1
Tynset - Hansmoen,SN9580,10.07.2020,9.6,2.3,4.7,15
Tynset - Hansmoen,SN9580,11.07.2020,9.3,4.5,6.2,14.9
Tynset - Hansmoen,SN9580,12.07.2020,8.3,3.8,4.5,14.3
Tynset - Hansmoen,SN9580,13.07.2020,10.4,1.4,0.1,16.9
Tynset - Hansmoen,SN9580,14.07.2020,11.3,0,8.8,14.6
Tynset - Hansmoen,SN9580,15.07.2020,13.8,0.8,7,21.2
Tynset - Hansmoen,SN9580,16.07.2020,14.9,0,4.8,23.3
Tynset - Hansmoen,SN9580,17.07.2020,16,0,13.2,20.9
Tynset - Hansmoen,SN9580,18.07.2020,15.8,0,11.7,20.8
Tynset - Hansmoen,SN9580,19.07.2020,15.5,1,13.4,20.9
Tynset - Hansmoen,SN9580,20.07.2020,10.6,4.9,9.5,16.4
Tynset - Hansmoen,SN9580,21.07.2020,9.7,0.2,5.3,14.2
Tynset - Hansmoen,SN9580,22.07.2020,7.2,0,0.3,12.2
Tynset - Hansmoen,SN9580,23.07.2020,7.9,0.5,2.7,13.2
Tynset - Hansmoen,SN9580,24.07.2020,7.7,0,1.7,11.5
Tynset - Hansmoen,SN9580,25.07.2020,11.7,0.7,5.9,18
Tynset - Hansmoen,SN9580,26.07.2020,13,0,6.3,17.1
Tynset - Hansmoen,SN9580,27.07.2020,14.7,1.8,12.3,19.4
Tynset - Hansmoen,SN9580,28.07.2020,13.3,1,8.9,16.4
Tynset - Hansmoen,SN9580,29.07.2020,12.7,0.4,10,18.6
Tynset - Hansmoen,SN9580,30.07.2020,12.5,0,6.3,17.6
Tynset - Hansmoen,SN9580,31.07.2020,16.6,0,10.4,23.6
Tynset - Hansmoen,SN9580,01.08.2020,16.3,0,5.4,25.1
Tynset - Hansmoen,SN9580,02.08.2020,14.4,0.1,7.5,22
Tynset - Hansmoen,SN9580,03.08.2020,10,14.8,10,15.8
Tynset - Hansmoen,SN9580,04.08.2020,10.5,3.8,4,17.3
Tynset - Hansmoen,SN9580,05.08.2020,11,0.3,5,14
Tynset - Hansmoen,SN9580,06.08.2020,16.5,0,10.9,22.5
Tynset - Hansmoen,SN9580,07.08.2020,17.7,0.1,14.2,23.2
Tynset - Hansmoen,SN9580,08.08.2020,15.1,0,8.4,25
Tynset - Hansmoen,SN9580,09.08.2020,12.2,0.8,7.9,18.8
Tynset - Hansmoen,SN9580,10.08.2020,12.5,0,0.2,24.2
Tynset - Hansmoen,SN9580,11.08.2020,15.3,0.1,4.6,25.2
Tynset - Hansmoen,SN9580,12.08.2020,15,0.1,4.8,24.4
Tynset - Hansmoen,SN9580,13.08.2020,13.2,0,6.2,20.4
Tynset - Hansmoen,SN9580,14.08.2020,16.5,4.9,12.1,23.9
Tynset - Hansmoen,SN9580,15.08.2020,14.4,0,5.9,25.5
Tynset - Hansmoen,SN9580,16.08.2020,14.9,0.1,5.9,24.3
Tynset - Hansmoen,SN9580,17.08.2020,14.9,0,5.4,25.4
Tynset - Hansmoen,SN9580,18.08.2020,16.4,0.5,11.1,25.9
Tynset - Hansmoen,SN9580,19.08.2020,16.2,0,9.5,24.3
Tynset - Hansmoen,SN9580,20.08.2020,15.1,0.6,9.2,20.3
Tynset - Hansmoen,SN9580,21.08.2020,16.3,0.7,11.5,20.8
Tynset - Hansmoen,SN9580,22.08.2020,15.7,1.5,14.2,20.3
Tynset - Hansmoen,SN9580,23.08.2020,10.1,0.8,7,16.1
Tynset - Hansmoen,SN9580,24.08.2020,7.3,7.7,1.3,14.6
Tynset - Hansmoen,SN9580,25.08.2020,8.9,0,6.1,13.5
Tynset - Hansmoen,SN9580,26.08.2020,7.4,0,-0.9,16.2
Tynset - Hansmoen,SN9580,27.08.2020,8.9,0.2,3.7,15.4
Tynset - Hansmoen,SN9580,28.08.2020,9.1,0,3.8,17.2
Tynset - Hansmoen,SN9580,29.08.2020,7.6,0,0,17.6
Tynset - Hansmoen,SN9580,30.08.2020,7.6,6.9,5.8,11.4
Tynset - Hansmoen,SN9580,31.08.2020,7,0.2,2.3,14.7
Tynset - Hansmoen,SN9580,01.09.2020,8.3,0,-2.3,18.8
Tynset - Hansmoen,SN9580,02.09.2020,10.6,0,0.8,18.1
Tynset - Hansmoen,SN9580,03.09.2020,11.2,0,4.5,17
Tynset - Hansmoen,SN9580,04.09.2020,11.4,0,8.9,17.9
Tynset - Hansmoen,SN9580,05.09.2020,7.7,0.1,0.4,16
Tynset - Hansmoen,SN9580,06.09.2020,5.9,0,-0.3,14.6
Tynset - Hansmoen,SN9580,07.09.2020,7.2,0.3,0.2,14.4
Tynset - Hansmoen,SN9580,08.09.2020,10.3,2.8,3.6,16.1
Tynset - Hansmoen,SN9580,09.09.2020,6,0,1.3,12.9
Tynset - Hansmoen,SN9580,10.09.2020,3.9,0.2,-1.7,10
Tynset - Hansmoen,SN9580,11.09.2020,6.6,0,0.2,12.5
Tynset - Hansmoen,SN9580,12.09.2020,8.8,0,7.4,13.5
Tynset - Hansmoen,SN9580,13.09.2020,8.6,0,-1.1,15.7
Tynset - Hansmoen,SN9580,14.09.2020,7.8,0,2.9,11.7
Tynset - Hansmoen,SN9580,15.09.2020,9.3,1,6.5,-
Tynset - Hansmoen,SN9580,16.09.2020,6,3.5,4.3,12.5
Tynset - Hansmoen,SN9580,17.09.2020,5.1,0,-1.8,9.9
Tynset - Hansmoen,SN9580,18.09.2020,9.3,0,5.6,17
Tynset - Hansmoen,SN9580,19.09.2020,2.9,0.1,-2.7,14.4
Tynset - Hansmoen,SN9580,20.09.2020,3.9,0,-3.7,14.4
Tynset - Hansmoen,SN9580,21.09.2020,13.1,0,3.6,16.6
Tynset - Hansmoen,SN9580,22.09.2020,9.4,0,6,14.1
Tynset - Hansmoen,SN9580,23.09.2020,9.6,0,6.6,16.3
Tynset - Hansmoen,SN9580,24.09.2020,6.4,10.8,1.3,12
Tynset - Hansmoen,SN9580,25.09.2020,6.4,6,3.6,10
Tynset - Hansmoen,SN9580,26.09.2020,3.3,1.6,1.6,4.9
Tynset - Hansmoen,SN9580,27.09.2020,5.2,10.9,3.5,6.7
Tynset - Hansmoen,SN9580,28.09.2020,9,1.4,6.3,13.4
Tynset - Hansmoen,SN9580,29.09.2020,11,0,6.7,12.6
Tynset - Hansmoen,SN9580,30.09.2020,10.1,0,8.3,11.6
Tynset - Hansmoen,SN9580,01.10.2020,10,0,9,11
Tynset - Hansmoen,SN9580,02.10.2020,10,0,6.7,12.1
Tynset - Hansmoen,SN9580,03.10.2020,10,0,8.9,11.8
Tynset - Hansmoen,SN9580,04.10.2020,11.4,0,9.6,12.2
Tynset - Hansmoen,SN9580,05.10.2020,9.2,4.6,9,13.5
Tynset - Hansmoen,SN9580,06.10.2020,5.2,0.6,0.8,9.2
Tynset - Hansmoen,SN9580,07.10.2020,8.3,2.4,7.1,12.9
Tynset - Hansmoen,SN9580,08.10.2020,6.8,0,1.5,10.5
Tynset - Hansmoen,SN9580,09.10.2020,6,5.5,5.2,8.7
Tynset - Hansmoen,SN9580,10.10.2020,5,4.4,2.5,7.6
Tynset - Hansmoen,SN9580,11.10.2020,6.5,0,4.6,8.4
Tynset - Hansmoen,SN9580,12.10.2020,4.8,0,2.5,7.3
Tynset - Hansmoen,SN9580,13.10.2020,4.1,0,1.9,7.7
Tynset - Hansmoen,SN9580,14.10.2020,1.2,0,-4.2,5.8
Tynset - Hansmoen,SN9580,15.10.2020,5.5,0,0,10.2
Tynset - Hansmoen,SN9580,16.10.2020,3.4,0,-0.4,8.1
Tynset - Hansmoen,SN9580,17.10.2020,0.7,0,-3.9,7.4
Tynset - Hansmoen,SN9580,18.10.2020,0.8,0.8,-0.3,2.4
Tynset - Hansmoen,SN9580,19.10.2020,-0.3,0.7,-2.9,3.9
Tynset - Hansmoen,SN9580,20.10.2020,-2.7,0.3,-6,-0.6
Tynset - Hansmoen,SN9580,21.10.2020,0.1,5.3,-2.1,2.6
Tynset - Hansmoen,SN9580,22.10.2020,0.5,0.1,-0.1,2.2
Tynset - Hansmoen,SN9580,23.10.2020,-6.8,0.2,-9.6,0.4
Tynset - Hansmoen,SN9580,24.10.2020,-3.8,0,-11,-1.5
Tynset - Hansmoen,SN9580,25.10.2020,4.5,0.1,-1.6,8.7
Tynset - Hansmoen,SN9580,26.10.2020,2.2,1.7,-1.6,7.5
Tynset - Hansmoen,SN9580,27.10.2020,3,0,-2,6.2
Tynset - Hansmoen,SN9580,28.10.2020,3.5,3.2,0.2,6.3
Tynset - Hansmoen,SN9580,29.10.2020,3.6,0.7,-0.2,6.4
Tynset - Hansmoen,SN9580,30.10.2020,-0.5,0,-3.8,3.7
Tynset - Hansmoen,SN9580,31.10.2020,3.1,0,0.2,4.3
Tynset - Hansmoen,SN9580,01.11.2020,7.1,0,3.7,9.8
Tynset - Hansmoen,SN9580,02.11.2020,7.8,5.5,5.8,11.1
Tynset - Hansmoen,SN9580,03.11.2020,1.7,0.4,-2.9,7.5
Tynset - Hansmoen,SN9580,04.11.2020,3.7,0,-0.3,5.6
Tynset - Hansmoen,SN9580,05.11.2020,6,0,1.2,11.6
Tynset - Hansmoen,SN9580,06.11.2020,3.3,0,-1,11.1
Tynset - Hansmoen,SN9580,07.11.2020,-0.5,0,-3.8,4.3
Tynset - Hansmoen,SN9580,08.11.2020,0.7,0.5,-0.9,2.3
Tynset - Hansmoen,SN9580,09.11.2020,-1.5,0.1,-2.6,0.9
Tynset - Hansmoen,SN9580,10.11.2020,-2.3,0,-2.6,-1
Tynset - Hansmoen,SN9580,11.11.2020,-0.7,0.2,-2.5,0.1
Tynset - Hansmoen,SN9580,12.11.2020,3.4,0,-0.1,4.4
Tynset - Hansmoen,SN9580,13.11.2020,2.3,0,1.8,3
Tynset - Hansmoen,SN9580,14.11.2020,3.4,0,1.7,5.1
Tynset - Hansmoen,SN9580,15.11.2020,5.4,0,-0.7,7
Tynset - Hansmoen,SN9580,16.11.2020,7.1,1.3,5.1,9.3
Tynset - Hansmoen,SN9580,17.11.2020,2.7,1.4,-0.2,6.3
Tynset - Hansmoen,SN9580,18.11.2020,-0.7,0,-4.3,3
Tynset - Hansmoen,SN9580,19.11.2020,-2.9,14.5,-7.7,2
Tynset - Hansmoen,SN9580,20.11.2020,-3,4,-9.7,-0.3
Tynset - Hansmoen,SN9580,21.11.2020,0.3,2.3,-9.2,3.5
Tynset - Hansmoen,SN9580,22.11.2020,0.5,0,-3.3,5.1
Tynset - Hansmoen,SN9580,23.11.2020,-4.6,0,-10.4,1.3
Tynset - Hansmoen,SN9580,24.11.2020,-5.9,0,-10.2,-3.6
Tynset - Hansmoen,SN9580,25.11.2020,0.6,0.4,-6.3,6
Tynset - Hansmoen,SN9580,26.11.2020,-8.5,0,-10.5,-2.5
Tynset - Hansmoen,SN9580,27.11.2020,-14,0,-16.7,-10.4
Tynset - Hansmoen,SN9580,28.11.2020,-14.5,0,-19.1,-11
Tynset - Hansmoen,SN9580,29.11.2020,-16.3,0.2,-18.6,-10.7
Tynset - Hansmoen,SN9580,30.11.2020,-11.3,0.1,-19,-6.9
Tynset - Hansmoen,SN9580,01.12.2020,-11.3,2.3,-13.8,-6.4
Tynset - Hansmoen,SN9580,02.12.2020,-4.8,0,-13.8,0.6
Tynset - Hansmoen,SN9580,03.12.2020,-0.4,0.3,-0.9,1.1
Tynset - Hansmoen,SN9580,04.12.2020,-1.6,1.2,-3.7,-0.5
Tynset - Hansmoen,SN9580,05.12.2020,-4.2,0.2,-8.7,-0.6
Tynset - Hansmoen,SN9580,06.12.2020,-5.5,0.5,-9,-1.9
Tynset - Hansmoen,SN9580,07.12.2020,-2.9,1.9,-7.2,-2.1
Tynset - Hansmoen,SN9580,08.12.2020,1.1,0.4,-2.1,2.2
Tynset - Hansmoen,SN9580,09.12.2020,-3.6,0.2,-10,0.7
Tynset - Hansmoen,SN9580,10.12.2020,-0.9,0,-10.9,0.8
Tynset - Hansmoen,SN9580,11.12.2020,-1.5,0,-1.9,0.1
Tynset - Hansmoen,SN9580,12.12.2020,-2.7,0.4,-3.2,-1.3
Tynset - Hansmoen,SN9580,13.12.2020,-2,0.1,-3.5,0.5
Tynset - Hansmoen,SN9580,14.12.2020,-0.3,0.1,-1.2,1.4
Tynset - Hansmoen,SN9580,15.12.2020,-3.2,2.1,-5.4,-0.7
Tynset - Hansmoen,SN9580,16.12.2020,-12.5,0,-17.6,-4.6
Tynset - Hansmoen,SN9580,17.12.2020,-7.2,0,-19.4,0.7
Tynset - Hansmoen,SN9580,18.12.2020,-3.9,0.6,-4.9,0.5
Tynset - Hansmoen,SN9580,19.12.2020,1.3,0,-5.1,4.4
Tynset - Hansmoen,SN9580,20.12.2020,3.7,0,2.9,4.6
